127.0.0.1, 2017-04-01 16:57:02, GET, /, HTTP/1.1, 303, 0.001997
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.190629
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000487
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002059
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001704
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003515
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002350
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002201
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001773
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000919
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001900
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001009
127.0.0.1, 2017-04-01 16:57:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000330
127.0.0.1, 2017-04-01 16:57:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000598
127.0.0.1, 2017-04-01 16:57:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000584
127.0.0.1, 2017-04-01 16:57:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001096
127.0.0.1, 2017-04-01 16:57:03, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000362
127.0.0.1, 2017-04-01 16:57:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000378
